date,20316875,20191440,20191442,20363824,20376057,20386898,20379358,103048,20160300
2015-07-01,4.0,4.0,,2.0,3.0,1.0,,14.0,2.0
2015-07-02,1.0,,1.0,1.0,7.0,2.0,,21.0,3.0
2015-07-03,7.0,,,1.0,2.0,8.0,,16.0,4.0
2015-07-04,2.0,5.0,,2.0,5.0,9.0,,19.0,1.0
2015-07-05,4.0,4.0,,,1.0,,,8.0,
2015-07-06,1.0,1.0,2.0,1.0,,1.0,,19.0,1.0
2015-07-07,,1.0,2.0,2.0,1.0,2.0,,25.0,2.0
2015-07-08,,1.0,,2.0,,3.0,,14.0,2.0
2015-07-09,,5.0,3.0,,,,,16.0,2.0
2015-07-10,1.0,,,2.0,2.0,,,5.0,1.0
2015-07-11,,2.0,3.0,3.0,9.0,1.0,,15.0,1.0
2015-07-12,2.0,2.0,,1.0,,2.0,,11.0,
2015-07-13,,,1.0,1.0,4.0,3.0,,10.0,
2015-07-14,1.0,2.0,1.0,1.0,1.0,1.0,,11.0,2.0
2015-07-15,,2.0,1.0,1.0,4.0,5.0,,8.0,2.0
2015-07-16,2.0,5.0,2.0,1.0,,2.0,,6.0,1.0
2015-07-17,3.0,1.0,1.0,1.0,,1.0,,9.0,1.0
2015-07-18,3.0,1.0,3.0,4.0,2.0,1.0,,19.0,
2015-07-19,2.0,1.0,,1.0,,2.0,,17.0,1.0
2015-07-20,1.0,,,1.0,3.0,2.0,,11.0,3.0
2015-07-21,,,,,,,,,
2015-07-22,2.0,1.0,1.0,4.0,6.0,1.0,,12.0,4.0
2015-07-23,1.0,1.0,,2.0,1.0,1.0,,8.0,1.0
2015-07-24,1.0,,1.0,,2.0,2.0,,5.0,
2015-07-25,3.0,2.0,1.0,1.0,2.0,2.0,,10.0,2.0
2015-07-26,,1.0,1.0,,3.0,3.0,,14.0,
2015-07-27,,,4.0,,1.0,2.0,,12.0,1.0
2015-07-28,3.0,,,1.0,1.0,,,8.0,
2015-07-29,2.0,3.0,1.0,2.0,3.0,3.0,,8.0,4.0
2015-07-30,3.0,,1.0,3.0,3.0,,,11.0,3.0
2015-07-31,3.0,,,4.0,2.0,3.0,2.0,19.0,3.0
2015-08-01,4.0,3.0,2.0,4.0,2.0,4.0,3.0,16.0,2.0
2015-08-02,,3.0,1.0,,1.0,4.0,,5.0,
2015-08-03,5.0,2.0,,,,1.0,3.0,8.0,3.0
2015-08-04,2.0,1.0,,1.0,4.0,,2.0,12.0,1.0
2015-08-05,1.0,1.0,,,3.0,,2.0,10.0,3.0
2015-08-06,2.0,1.0,1.0,,1.0,5.0,2.0,13.0,
2015-08-07,3.0,1.0,1.0,2.0,1.0,2.0,1.0,20.0,1.0
2015-08-08,1.0,5.0,2.0,6.0,3.0,1.0,2.0,10.0,2.0
2015-08-09,1.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,
2015-08-10,3.0,1.0,1.0,1.0,,1.0,1.0,15.0,2.0
2015-08-11,2.0,2.0,,2.0,1.0,2.0,4.0,14.0,1.0
2015-08-12,1.0,,,1.0,10.0,1.0,1.0,7.0,1.0
2015-08-13,1.0,,,1.0,2.0,3.0,1.0,7.0,1.0
2015-08-14,2.0,1.0,,2.0,3.0,4.0,4.0,15.0,1.0
2015-08-15,,,,,,,,,
2015-08-16,,2.0,,1.0,,,,7.0,4.0
2015-08-17,3.0,1.0,1.0,1.0,,1.0,2.0,19.0,2.0
2015-08-18,4.0,1.0,,,3.0,2.0,4.0,9.0,3.0
2015-08-19,,2.0,,6.0,3.0,,,16.0,1.0
2015-08-20,3.0,2.0,,,2.0,2.0,3.0,20.0,2.0
2015-08-21,2.0,,3.0,2.0,4.0,2.0,,16.0,
2015-08-22,2.0,2.0,3.0,2.0,1.0,4.0,4.0,15.0,2.0
2015-08-23,4.0,1.0,1.0,4.0,2.0,1.0,2.0,10.0,
2015-08-24,,3.0,2.0,,2.0,2.0,2.0,18.0,2.0
2015-08-25,,2.0,2.0,2.0,1.0,1.0,4.0,12.0,2.0
2015-08-26,7.0,2.0,1.0,,1.0,4.0,,17.0,3.0
2015-08-27,7.0,3.0,1.0,3.0,5.0,1.0,3.0,15.0,3.0
2015-08-28,4.0,2.0,,2.0,8.0,3.0,4.0,26.0,1.0
2015-08-29,5.0,3.0,2.0,4.0,7.0,6.0,3.0,40.0,2.0
2015-08-30,1.0,4.0,1.0,1.0,2.0,,1.0,4.0,4.0
2015-08-31,2.0,2.0,1.0,,,2.0,1.0,22.0,2.0
2015-09-01,4.0,4.0,2.0,1.0,4.0,2.0,5.0,17.0,3.0
2015-09-02,4.0,,1.0,1.0,5.0,,,26.0,3.0
2015-09-03,1.0,2.0,1.0,1.0,,1.0,,5.0,
2015-09-04,,1.0,,,2.0,3.0,1.0,6.0,3.0
2015-09-05,4.0,6.0,3.0,1.0,2.0,6.0,4.0,39.0,2.0
2015-09-06,2.0,,,1.0,1.0,4.0,,15.0,3.0
2015-09-07,,,,,,,,1.0,
2015-09-08,3.0,,,1.0,,1.0,1.0,9.0,
2015-09-09,1.0,1.0,,,2.0,1.0,1.0,8.0,
2015-09-10,1.0,1.0,,,1.0,2.0,1.0,20.0,3.0
2015-09-11,,2.0,2.0,2.0,2.0,3.0,,11.0,1.0
2015-09-12,5.0,5.0,4.0,7.0,6.0,2.0,4.0,23.0,6.0
2015-09-13,2.0,3.0,1.0,,,,3.0,5.0,2.0
2015-09-14,,1.0,,2.0,1.0,3.0,,6.0,1.0
2015-09-15,1.0,3.0,,3.0,,3.0,,7.0,1.0
2015-09-16,,3.0,,,1.0,3.0,4.0,13.0,3.0
2015-09-17,1.0,1.0,,,,1.0,,8.0,1.0
2015-09-18,2.0,,,2.0,2.0,3.0,1.0,24.0,3.0
2015-09-19,3.0,3.0,,5.0,2.0,3.0,1.0,20.0,5.0
2015-09-20,,2.0,,1.0,,1.0,1.0,9.0,1.0
2015-09-21,,,,,2.0,2.0,,8.0,
2015-09-22,1.0,,,1.0,2.0,,1.0,13.0,
2015-09-23,2.0,1.0,3.0,2.0,,3.0,3.0,6.0,4.0
2015-09-24,,1.0,,3.0,2.0,1.0,1.0,10.0,5.0
2015-09-25,2.0,1.0,2.0,3.0,3.0,2.0,2.0,15.0,7.0
2015-09-26,4.0,4.0,1.0,4.0,5.0,7.0,2.0,20.0,3.0
2015-09-27,,,,,3.0,2.0,4.0,17.0,3.0
2015-09-28,,,,,1.0,2.0,2.0,8.0,1.0
2015-09-29,,,,,,2.0,,11.0,
2015-09-30,1.0,1.0,,,2.0,,2.0,8.0,1.0
2015-10-01,,,,,,,4.0,9.0,2.0
2015-10-02,2.0,,,4.0,3.0,2.0,3.0,18.0,1.0
2015-10-03,4.0,6.0,1.0,3.0,4.0,4.0,4.0,32.0,6.0
2015-10-04,4.0,2.0,2.0,,1.0,,3.0,18.0,
2015-10-05,1.0,,,,2.0,,,7.0,1.0
2015-10-06,2.0,1.0,1.0,,,,1.0,6.0,
2015-10-07,2.0,,,3.0,4.0,,2.0,17.0,1.0
2015-10-08,,1.0,1.0,,,4.0,,17.0,1.0
2015-10-09,2.0,1.0,,,1.0,2.0,2.0,8.0,
2015-10-10,5.0,2.0,4.0,4.0,3.0,4.0,1.0,14.0,7.0
2015-10-11,1.0,,1.0,,,2.0,,13.0,1.0
2015-10-12,1.0,2.0,,,,,,9.0,4.0
2015-10-13,,1.0,,1.0,1.0,2.0,1.0,16.0,
2015-10-14,6.0,,1.0,,5.0,2.0,,20.0,5.0
2015-10-15,,,1.0,1.0,,,1.0,7.0,1.0
2015-10-16,2.0,,,,4.0,1.0,1.0,11.0,5.0
2015-10-17,7.0,5.0,5.0,3.0,3.0,3.0,8.0,29.0,6.0
2015-10-18,2.0,,2.0,1.0,1.0,1.0,3.0,12.0,3.0
2015-10-19,,1.0,,,2.0,3.0,3.0,10.0,4.0
2015-10-20,,4.0,2.0,2.0,,2.0,,1.0,3.0
2015-10-21,3.0,7.0,2.0,1.0,2.0,3.0,11.0,15.0,2.0
2015-10-22,1.0,3.0,,1.0,2.0,2.0,2.0,3.0,1.0
2015-10-23,3.0,,1.0,1.0,2.0,3.0,4.0,5.0,3.0
2015-10-24,10.0,3.0,2.0,5.0,2.0,4.0,3.0,23.0,7.0
2015-10-25,1.0,8.0,2.0,3.0,1.0,1.0,1.0,22.0,1.0
2015-10-26,2.0,,2.0,1.0,1.0,,,9.0,
2015-10-27,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0
2015-10-28,5.0,9.0,,,2.0,1.0,3.0,48.0,1.0
2015-10-29,2.0,2.0,,1.0,1.0,2.0,,18.0,
2015-10-30,1.0,11.0,2.0,,7.0,5.0,1.0,14.0,2.0
2015-10-31,4.0,25.0,6.0,1.0,1.0,3.0,1.0,18.0,7.0
2015-11-01,,,,,,,,,
2015-11-02,3.0,3.0,4.0,1.0,,5.0,21.0,26.0,5.0
2015-11-03,,8.0,2.0,1.0,2.0,2.0,,11.0,
2015-11-04,6.0,9.0,9.0,3.0,4.0,1.0,,18.0,4.0
2015-11-05,3.0,5.0,2.0,1.0,,1.0,2.0,5.0,1.0
2015-11-06,6.0,5.0,2.0,,1.0,,1.0,13.0,
2015-11-07,3.0,12.0,9.0,5.0,2.0,2.0,2.0,24.0,5.0
2015-11-08,8.0,2.0,,2.0,,,1.0,15.0,1.0
2015-11-09,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,6.0
2015-11-10,2.0,2.0,2.0,2.0,1.0,3.0,,5.0,2.0
2015-11-11,3.0,1.0,1.0,1.0,,4.0,,7.0,2.0
2015-11-12,2.0,7.0,3.0,1.0,1.0,1.0,,14.0,
2015-11-13,3.0,5.0,2.0,,2.0,4.0,2.0,12.0,6.0
2015-11-14,1.0,11.0,4.0,1.0,4.0,2.0,4.0,23.0,9.0
2015-11-15,4.0,,1.0,,,2.0,2.0,24.0,6.0
2015-11-16,1.0,,8.0,,1.0,1.0,,8.0,8.0
2015-11-17,1.0,,1.0,1.0,,,1.0,11.0,5.0
2015-11-18,2.0,4.0,3.0,,,3.0,1.0,8.0,7.0
2015-11-19,,5.0,5.0,,,2.0,,3.0,5.0
2015-11-20,2.0,5.0,7.0,,,,1.0,7.0,6.0
2015-11-21,10.0,11.0,2.0,2.0,4.0,8.0,2.0,21.0,2.0
2015-11-22,1.0,6.0,2.0,,2.0,1.0,,21.0,3.0
2015-11-23,,6.0,2.0,1.0,,1.0,3.0,10.0,3.0
2015-11-24,1.0,6.0,2.0,2.0,4.0,1.0,,12.0,1.0
2015-11-25,4.0,19.0,1.0,,,1.0,,12.0,1.0
2015-11-26,1.0,11.0,4.0,3.0,1.0,5.0,3.0,21.0,2.0
2015-11-27,,11.0,7.0,1.0,1.0,,1.0,11.0,2.0
2015-11-28,5.0,24.0,11.0,2.0,7.0,1.0,1.0,24.0,5.0
2015-11-29,5.0,19.0,7.0,3.0,1.0,3.0,1.0,25.0,4.0
2015-11-30,,16.0,7.0,3.0,1.0,1.0,,14.0,7.0
2015-12-01,3.0,12.0,8.0,3.0,2.0,2.0,1.0,9.0,7.0
2015-12-02,2.0,26.0,12.0,1.0,2.0,1.0,,24.0,11.0
2015-12-03,1.0,14.0,14.0,1.0,1.0,2.0,5.0,21.0,4.0
2015-12-04,5.0,28.0,17.0,,,4.0,,25.0,9.0
2015-12-05,6.0,18.0,18.0,1.0,2.0,4.0,,32.0,18.0
2015-12-06,,7.0,6.0,1.0,1.0,1.0,,17.0,7.0
2015-12-07,,4.0,4.0,1.0,,1.0,,4.0,6.0
2015-12-08,,4.0,,,,2.0,4.0,5.0,9.0
2015-12-09,5.0,6.0,4.0,,1.0,1.0,,24.0,6.0
2015-12-10,1.0,6.0,2.0,,3.0,4.0,,20.0,2.0
2015-12-11,2.0,6.0,2.0,,,,1.0,9.0,7.0
2015-12-12,1.0,3.0,7.0,2.0,1.0,3.0,,28.0,17.0
2015-12-13,3.0,4.0,5.0,,1.0,,1.0,15.0,7.0
2015-12-14,1.0,1.0,3.0,2.0,,1.0,1.0,5.0,3.0
2015-12-15,,6.0,,,2.0,6.0,,11.0,2.0
2015-12-16,3.0,7.0,2.0,,1.0,2.0,,9.0,6.0
2015-12-17,1.0,5.0,1.0,1.0,,1.0,1.0,11.0,1.0
2015-12-18,1.0,8.0,3.0,,2.0,2.0,1.0,8.0,3.0
2015-12-19,4.0,8.0,10.0,2.0,6.0,3.0,1.0,22.0,11.0
2015-12-20,4.0,6.0,5.0,,1.0,,,15.0,4.0
2015-12-21,1.0,6.0,8.0,1.0,2.0,,1.0,23.0,3.0
2015-12-22,5.0,8.0,,,3.0,2.0,2.0,12.0,4.0
2015-12-23,3.0,8.0,7.0,,,,,22.0,5.0
2015-12-24,3.0,12.0,6.0,1.0,2.0,,,19.0,9.0
2015-12-25,,,,,,,,,
2015-12-26,7.0,6.0,4.0,1.0,,,,17.0,9.0
2015-12-27,4.0,8.0,6.0,2.0,1.0,,,11.0,6.0
2015-12-28,1.0,6.0,4.0,3.0,1.0,,1.0,16.0,3.0
2015-12-29,3.0,2.0,2.0,,1.0,3.0,1.0,12.0,
2015-12-30,2.0,5.0,3.0,,,,1.0,13.0,9.0
2015-12-31,2.0,4.0,5.0,,,,,18.0,14.0
2016-01-01,,,,,,,,,
2016-01-02,1.0,,8.0,4.0,3.0,2.0,,21.0,17.0
2016-01-03,,1.0,1.0,1.0,,,,10.0,2.0
2016-01-04,,,,1.0,,,,6.0,1.0
2016-01-05,1.0,3.0,1.0,2.0,,,1.0,7.0,4.0
2016-01-06,2.0,,2.0,1.0,1.0,,1.0,17.0,2.0
2016-01-07,1.0,,4.0,,,1.0,1.0,9.0,
2016-01-08,1.0,,1.0,1.0,,5.0,,18.0,2.0
2016-01-09,5.0,,2.0,3.0,1.0,,4.0,37.0,3.0
2016-01-10,3.0,,1.0,1.0,,9.0,4.0,21.0,
2016-01-11,1.0,,,1.0,,1.0,,5.0,
2016-01-12,1.0,,,3.0,2.0,,,12.0,
2016-01-13,2.0,,2.0,1.0,,1.0,1.0,12.0,
2016-01-14,2.0,4.0,1.0,2.0,,,,7.0,
2016-01-15,2.0,3.0,2.0,,,2.0,2.0,8.0,1.0
2016-01-16,2.0,10.0,5.0,4.0,,4.0,3.0,40.0,6.0
2016-01-17,1.0,3.0,1.0,,,1.0,5.0,5.0,2.0
2016-01-18,4.0,1.0,1.0,1.0,,4.0,1.0,6.0,
2016-01-19,,1.0,,1.0,,,1.0,6.0,
2016-01-20,2.0,1.0,3.0,2.0,,1.0,2.0,16.0,3.0
2016-01-21,2.0,1.0,1.0,3.0,1.0,2.0,2.0,14.0,
2016-01-22,2.0,3.0,,,4.0,1.0,,11.0,1.0
2016-01-23,8.0,6.0,1.0,3.0,5.0,,2.0,14.0,
2016-01-24,5.0,3.0,,2.0,3.0,1.0,1.0,8.0,2.0
2016-01-25,2.0,2.0,,1.0,,,1.0,3.0,
2016-01-26,3.0,,,,2.0,2.0,1.0,6.0,
2016-01-27,3.0,,2.0,,3.0,1.0,2.0,16.0,
2016-01-28,,2.0,1.0,2.0,2.0,2.0,3.0,12.0,1.0
2016-01-29,7.0,1.0,1.0,,3.0,2.0,2.0,18.0,
2016-01-30,10.0,7.0,2.0,4.0,2.0,6.0,4.0,32.0,1.0
2016-01-31,6.0,1.0,1.0,,1.0,4.0,,25.0,
2016-02-01,4.0,3.0,,,3.0,1.0,,8.0,1.0
2016-02-02,8.0,2.0,1.0,,3.0,,2.0,24.0,1.0
2016-02-03,5.0,4.0,2.0,,1.0,2.0,2.0,25.0,
2016-02-04,5.0,3.0,1.0,2.0,2.0,2.0,1.0,6.0,3.0
2016-02-05,,,1.0,,,1.0,2.0,6.0,2.0
2016-02-06,6.0,3.0,4.0,,3.0,1.0,3.0,20.0,4.0
2016-02-07,4.0,2.0,2.0,,,2.0,1.0,10.0,1.0
2016-02-08,,1.0,1.0,,2.0,1.0,,12.0,3.0
2016-02-09,2.0,2.0,1.0,2.0,4.0,1.0,1.0,8.0,
2016-02-10,4.0,,,,1.0,,1.0,16.0,1.0
2016-02-11,1.0,3.0,1.0,2.0,1.0,5.0,2.0,6.0,
2016-02-12,3.0,2.0,2.0,2.0,2.0,6.0,1.0,7.0,3.0
2016-02-13,3.0,6.0,4.0,2.0,2.0,4.0,1.0,23.0,3.0
2016-02-14,2.0,3.0,,3.0,,,3.0,13.0,1.0
2016-02-15,,,1.0,,1.0,1.0,3.0,4.0,
2016-02-16,,1.0,1.0,2.0,1.0,1.0,4.0,5.0,
2016-02-17,6.0,1.0,1.0,,1.0,1.0,1.0,9.0,1.0
2016-02-18,,,,1.0,1.0,,,5.0,1.0
2016-02-19,2.0,,1.0,1.0,1.0,,,16.0,1.0
2016-02-20,4.0,1.0,2.0,3.0,3.0,4.0,7.0,24.0,1.0
2016-02-21,1.0,1.0,,2.0,,,,13.0,1.0
2016-02-22,,,,2.0,,1.0,,8.0,1.0
2016-02-23,,,2.0,1.0,1.0,2.0,,4.0,2.0
2016-02-24,,,1.0,3.0,1.0,1.0,2.0,5.0,6.0
2016-02-25,2.0,1.0,1.0,,4.0,4.0,1.0,7.0,1.0
2016-02-26,3.0,2.0,,2.0,2.0,3.0,,10.0,
2016-02-27,5.0,7.0,3.0,1.0,1.0,5.0,1.0,28.0,6.0
2016-02-28,3.0,2.0,,2.0,,,,8.0,2.0
2016-02-29,1.0,,1.0,1.0,1.0,3.0,,7.0,1.0
2016-03-01,1.0,,,,1.0,1.0,,4.0,1.0
2016-03-02,,1.0,,1.0,1.0,3.0,3.0,12.0,2.0
2016-03-03,,3.0,4.0,,1.0,1.0,1.0,24.0,
2016-03-04,1.0,4.0,1.0,1.0,1.0,1.0,2.0,9.0,
2016-03-05,1.0,3.0,1.0,5.0,5.0,6.0,4.0,35.0,5.0
2016-03-06,3.0,2.0,3.0,1.0,,,1.0,19.0,3.0
2016-03-07,1.0,1.0,2.0,,2.0,1.0,2.0,4.0,1.0
2016-03-08,1.0,,,2.0,2.0,2.0,3.0,9.0,
2016-03-09,3.0,1.0,1.0,1.0,,3.0,2.0,14.0,
2016-03-10,1.0,,2.0,3.0,,4.0,2.0,8.0,
2016-03-11,1.0,1.0,1.0,8.0,5.0,1.0,1.0,17.0,3.0
2016-03-12,3.0,8.0,2.0,3.0,2.0,8.0,1.0,23.0,8.0
2016-03-13,2.0,1.0,,1.0,1.0,2.0,1.0,8.0,4.0
2016-03-14,1.0,,,,,2.0,,7.0,
2016-03-15,1.0,1.0,,2.0,3.0,1.0,,2.0,
2016-03-16,4.0,1.0,1.0,5.0,6.0,5.0,3.0,15.0,3.0
2016-03-17,1.0,1.0,,2.0,4.0,2.0,1.0,11.0,5.0
2016-03-18,4.0,2.0,,1.0,3.0,2.0,3.0,7.0,
2016-03-19,4.0,3.0,2.0,2.0,3.0,3.0,,26.0,3.0
2016-03-20,5.0,,1.0,2.0,3.0,2.0,,14.0,1.0
2016-03-21,2.0,1.0,1.0,1.0,1.0,3.0,,6.0,
2016-03-22,2.0,2.0,2.0,1.0,,3.0,3.0,11.0,1.0
2016-03-23,5.0,,,1.0,4.0,3.0,1.0,16.0,
2016-03-24,,1.0,5.0,,,1.0,3.0,4.0,3.0
2016-03-25,2.0,2.0,1.0,1.0,3.0,1.0,2.0,16.0,2.0
2016-03-26,1.0,2.0,,4.0,3.0,7.0,1.0,23.0,2.0
2016-03-27,2.0,4.0,1.0,,,1.0,1.0,8.0,1.0
2016-03-28,,,,,,,,,
2016-03-29,4.0,5.0,4.0,,,5.0,,12.0,3.0
2016-03-30,,1.0,,3.0,,2.0,1.0,11.0,3.0
2016-03-31,1.0,1.0,1.0,1.0,,1.0,1.0,4.0,3.0
2016-04-01,2.0,2.0,3.0,4.0,,5.0,1.0,5.0,2.0
2016-04-02,,5.0,2.0,1.0,,2.0,2.0,13.0,2.0
2016-04-03,1.0,1.0,,,1.0,1.0,3.0,11.0,5.0
2016-04-04,3.0,2.0,1.0,1.0,,3.0,,6.0,2.0
